freq	demod_Phase0	demod_Magnitude0
1.000000000000000000e+01	-2.285412243598606175e+00	1.956099393967124320e-03
1.000099999999999945e+01	-1.984820805098429508e+00	2.008091327734770355e-03
1.000200000000000067e+01	-1.710565419268287757e+00	2.131977397698161473e-03
1.000300000000000011e+01	-1.444816764745964655e+00	2.152127490631287540e-03
1.000399999999999956e+01	-1.163176947717445398e+00	2.198568176887182556e-03
1.000500000000000078e+01	-8.842725185106238284e-01	2.177006537619802836e-03
1.000600000000000023e+01	-5.902774437152872311e-01	2.195335286083297324e-03
1.000699999999999967e+01	-3.175302488919461430e-01	2.165847448876512173e-03
1.000799999999999912e+01	-2.067114074013753217e-02	2.151841112191592645e-03
1.000900000000000034e+01	2.598985021959287489e-01	2.139532616948228161e-03
1.000999999999999979e+01	5.720220894117999944e-01	2.082157028221955000e-03
1.001099999999999923e+01	8.539549938732180490e-01	2.024842059376181277e-03
1.001200000000000045e+01	1.189251338365103994e+00	1.960261532167555717e-03
1.001299999999999990e+01	1.497576727932578455e+00	1.889032085161005542e-03
1.001399999999999935e+01	1.815939053195156916e+00	1.883535805806408779e-03
1.001500000000000057e+01	2.157496327008462611e+00	1.787028070519847524e-03
1.001600000000000001e+01	2.476047269204099788e+00	1.761969993131634387e-03
1.001699999999999946e+01	2.841103332693440287e+00	1.750845618077030317e-03
1.001800000000000068e+01	-3.108264600625465057e+00	1.736442864580925449e-03
1.001900000000000013e+01	-2.786565609351766781e+00	1.757638075584695356e-03
1.001999999999999957e+01	-2.440112556012723921e+00	1.799780963905258952e-03
1.002100000000000080e+01	-2.111509672010542182e+00	1.808726059009421998e-03
1.002200000000000024e+01	-1.769749424118288950e+00	1.846550134541001358e-03
1.002299999999999969e+01	-1.460253452292635590e+00	1.930828891540518379e-03
1.002399999999999913e+01	-1.147476061790279944e+00	1.942320621814003266e-03
1.002500000000000036e+01	-8.312342265997093582e-01	2.037421885559678302e-03
1.002599999999999980e+01	-5.464762807306637882e-01	2.067728846499802126e-03
1.002699999999999925e+01	-2.301907524807060845e-01	2.140117010920304565e-03
1.002800000000000047e+01	5.262065232749333493e-02	2.207579023985791963e-03
1.002899999999999991e+01	3.320941507019580241e-01	2.257315437289528562e-03
1.002999999999999936e+01	6.112302855927385092e-01	2.255868711443832948e-03
1.003100000000000058e+01	8.864051629917247821e-01	2.302917742928751316e-03
1.003200000000000003e+01	1.172091579822116092e+00	2.264927625072961186e-03
1.003299999999999947e+01	1.452706008122419679e+00	2.247860519575499341e-03
1.003400000000000070e+01	1.728594743863822281e+00	2.234946351911650236e-03
1.003500000000000014e+01	2.028743508943314566e+00	2.188155231408854540e-03
1.003599999999999959e+01	2.312549099993066903e+00	2.108174091557656841e-03
1.003700000000000081e+01	2.620362324679011756e+00	2.037675271151801609e-03
1.003800000000000026e+01	2.974409526220390454e+00	1.930828614688796926e-03
1.003899999999999970e+01	-2.974933878423879019e+00	1.849935422865475092e-03
1.003999999999999915e+01	-2.627497690940556296e+00	1.797309388685082573e-03
1.004100000000000037e+01	-2.269092582745433351e+00	1.798046623865135743e-03
1.004199999999999982e+01	-1.903086829901636134e+00	1.799892758601574988e-03
1.004299999999999926e+01	-1.538777573025314371e+00	1.774564057360102521e-03
1.004400000000000048e+01	-1.175181158594853059e+00	1.850800731285043473e-03
1.004499999999999993e+01	-8.431530485083997828e-01	1.927485172032455604e-03
1.004599999999999937e+01	-5.178760757776444956e-01	2.048235698488511201e-03
1.004700000000000060e+01	-2.148498413455387501e-01	2.095437430785700855e-03
1.004800000000000004e+01	7.981611932453792913e-02	2.222475278903261828e-03
1.004899999999999949e+01	3.786428170040248564e-01	2.238498180202069202e-03
1.005000000000000071e+01	6.531512757945697745e-01	2.277861713760839443e-03
1.005100000000000016e+01	9.355066200250052866e-01	2.317881593106372543e-03
1.005199999999999960e+01	1.205428216846079703e+00	2.307909903711896898e-03
1.005300000000000082e+01	1.463036851950547668e+00	2.283276713215378131e-03
1.005400000000000027e+01	1.745525217377215110e+00	2.272607072314592521e-03
1.005499999999999972e+01	2.021476044273303962e+00	2.198843709929467882e-03
1.005599999999999916e+01	2.302435493508698805e+00	2.090505020794739943e-03
1.005700000000000038e+01	2.617873752465579962e+00	1.989147146178331729e-03
1.005799999999999983e+01	2.906481214931606605e+00	1.925864450970888025e-03
1.005899999999999928e+01	-3.048755801173935520e+00	1.855355189397328271e-03
1.006000000000000050e+01	-2.692496625751261696e+00	1.760483717006682729e-03
1.006099999999999994e+01	-2.367077279103509291e+00	1.711119478484510138e-03
1.006199999999999939e+01	-2.016301929821065819e+00	1.695711160231153352e-03
1.006300000000000061e+01	-1.650085562125537697e+00	1.738700297437501202e-03
1.006400000000000006e+01	-1.315926746837544403e+00	1.757027066406681784e-03
1.006499999999999950e+01	-9.657047915113101677e-01	1.768067798464308029e-03
1.006600000000000072e+01	-6.298007609328158951e-01	1.866127243259601458e-03
1.006700000000000017e+01	-3.126758845941298159e-01	1.898896637525939986e-03
1.006799999999999962e+01	-1.162388029778657801e-02	1.980730444150943879e-03
1.006900000000000084e+01	3.081919887220591070e-01	2.049984989321992305e-03
1.007000000000000028e+01	6.115321743730999238e-01	2.070768584628607852e-03
1.007099999999999973e+01	8.953953949487365449e-01	2.100138577421558142e-03
1.007199999999999918e+01	1.205072718141340093e+00	2.156674566928889602e-03
1.007300000000000040e+01	1.492867578082540891e+00	2.170973802025346396e-03
1.007399999999999984e+01	1.790166436174761566e+00	2.197873776283534343e-03
1.007499999999999929e+01	2.095793146287041608e+00	2.169295455439295122e-03
1.007600000000000051e+01	2.373034404121101559e+00	2.167785900595984271e-03
1.007699999999999996e+01	2.685530070792132129e+00	2.150402666869406527e-03
1.007799999999999940e+01	2.962985433193963125e+00	2.148988471145233184e-03
1.007900000000000063e+01	-3.007726978666254158e+00	2.116357210684561944e-03
1.008000000000000007e+01	-2.705970010704938034e+00	2.067559063422143902e-03
1.008099999999999952e+01	-2.421691588883922552e+00	2.032525247002391934e-03
1.008200000000000074e+01	-2.107918159893169552e+00	1.951885911074643454e-03
1.008300000000000018e+01	-1.802879540621337595e+00	1.885432073175717909e-03
1.008399999999999963e+01	-1.507723636775742504e+00	1.812882356148536262e-03
1.008500000000000085e+01	-1.172314046790650099e+00	1.738860398709484974e-03
1.008600000000000030e+01	-8.647464177578867428e-01	1.696831950853765940e-03
1.008699999999999974e+01	-5.090963038949392061e-01	1.641351517794394478e-03
1.008799999999999919e+01	-1.673162506800625060e-01	1.577255231253375670e-03
1.008900000000000041e+01	2.173841722833482204e-01	1.542458438970934929e-03
1.008999999999999986e+01	5.875617379168442955e-01	1.546069976095650663e-03
1.009099999999999930e+01	9.371142733523023516e-01	1.621796019958941619e-03
1.009200000000000053e+01	1.299121575568902953e+00	1.645925661389177055e-03
1.009299999999999997e+01	1.629514528685030328e+00	1.730627305442179568e-03
1.009399999999999942e+01	1.947029096873458931e+00	1.871887117107081007e-03
1.009500000000000064e+01	2.249133578741913109e+00	1.949589357195463798e-03
1.009600000000000009e+01	2.550548018301234787e+00	2.059869292956363358e-03
1.009699999999999953e+01	2.847350738919126378e+00	2.154316522152650414e-03
1.009800000000000075e+01	3.117970985369868053e+00	2.176720612488229449e-03
1.009900000000000020e+01	-2.906742290537315032e+00	2.243346845695429713e-03
1.009999999999999964e+01	-2.639595029239879764e+00	2.267327278158659271e-03
1.010100000000000087e+01	-2.364443681043638001e+00	2.291630906710981266e-03
1.010200000000000031e+01	-2.101438500870473014e+00	2.254922348623884017e-03
1.010299999999999976e+01	-1.816148396908989104e+00	2.193067280417007690e-03
1.010399999999999920e+01	-1.558117108846209575e+00	2.092609907623047948e-03
1.010500000000000043e+01	-1.263788752848661989e+00	1.970065425139216810e-03
1.010599999999999987e+01	-9.673271170686383869e-01	1.841939706781984838e-03
1.010699999999999932e+01	-6.489156626760355095e-01	1.743339195728524534e-03
1.010800000000000054e+01	-2.943575434407177394e-01	1.583571736842589095e-03
1.010899999999999999e+01	6.536744455715876034e-02	1.438516989051412528e-03
1.010999999999999943e+01	4.644195406445277841e-01	1.326512979062049275e-03
1.011100000000000065e+01	8.624274451657762963e-01	1.285462166073031215e-03
1.011200000000000010e+01	1.304821532920051208e+00	1.313131172254855062e-03
1.011299999999999955e+01	1.739250346873697284e+00	1.355197420816558291e-03
1.011400000000000077e+01	2.108379407789684024e+00	1.396706925880656595e-03
1.011500000000000021e+01	2.488960417981831430e+00	1.498215460855268884e-03
1.011599999999999966e+01	2.796183844280409225e+00	1.592490830112463802e-03
1.011700000000000088e+01	3.108499162341874733e+00	1.708369593507907914e-03
1.011800000000000033e+01	-2.863264766139526074e+00	1.792058139525080527e-03
1.011899999999999977e+01	-2.572497556373061656e+00	1.857572422838941854e-03
1.011999999999999922e+01	-2.288974717694321370e+00	1.879724035005743464e-03
1.012100000000000044e+01	-2.021098411400236383e+00	1.900627126832795354e-03
1.012199999999999989e+01	-1.774686123738420607e+00	1.851063584320084953e-03
1.012299999999999933e+01	-1.510975753461719195e+00	1.841751262227595953e-03
1.012400000000000055e+01	-1.221227972972523723e+00	1.776263938276888624e-03
1.012500000000000000e+01	-9.639465771993906973e-01	1.700106106487479915e-03
1.012599999999999945e+01	-6.691232843191775581e-01	1.573536117391245324e-03
1.012700000000000067e+01	-3.947753370544935803e-01	1.438574959153226217e-03
1.012800000000000011e+01	-8.966488968413972860e-02	1.351325067813342190e-03
1.012899999999999956e+01	2.265490338790647207e-01	1.180926044488567238e-03
1.013000000000000078e+01	5.479103459423922962e-01	1.090443748378962718e-03
1.013100000000000023e+01	8.883613870137473389e-01	9.693747620931014676e-04
1.013199999999999967e+01	1.271928674136858728e+00	8.824277583064331354e-04
1.013299999999999912e+01	1.717174245570741720e+00	8.176828775052919765e-04
1.013400000000000034e+01	2.118429482286265930e+00	7.355036742483477821e-04
1.013499999999999979e+01	2.564807153901235814e+00	7.435723815990883355e-04
1.013599999999999923e+01	2.986386083177066997e+00	7.157250870303350420e-04
