freq	demod_AI0	demod_AQ0	demod_BI0	demod_BQ0
1.000000000000000000e+01	-4.691930505811473759e-05	1.978811069157152252e-03	6.128248075430973302e-02	-4.468979904866682978e-02
1.000099999999999945e+01	-1.296522263336008854e-03	1.606900754842056564e-03	7.223785189971754228e-02	2.299807046859159848e-02
1.000200000000000067e+01	-7.457720863243072007e-04	-1.966603875898427067e-03	-6.833374778246380232e-02	3.270485408642068853e-02
1.000300000000000011e+01	1.072926994441335139e-03	1.883073463118407854e-03	7.130013949190285028e-02	-2.551649488766020643e-02
1.000399999999999956e+01	1.607794123194051161e-03	-1.455470433514141409e-03	-2.086428694931507372e-02	-7.295208430398390786e-02
1.000500000000000078e+01	1.907372369675270707e-03	1.104578595050822358e-03	7.199867131345037696e-02	-2.373784133094816381e-02
1.000600000000000023e+01	3.857800427064620201e-04	-2.137097364266557151e-03	-2.743724059417947808e-02	-7.060695985412307474e-02
1.000699999999999967e+01	1.937642598470748056e-03	9.991424773237952452e-04	7.431289341438294949e-02	1.480723988028380747e-02
1.000799999999999912e+01	2.744284271399548714e-04	2.144276894172284474e-03	8.345829593219958320e-03	7.509455733042451342e-02
1.000900000000000034e+01	-2.090262959293748887e-03	2.954847032645483676e-04	-7.428295744332209793e-02	-1.336852694499405560e-02
1.000999999999999979e+01	1.141987090409464761e-03	-1.690438308511279944e-03	7.073239641886451545e-02	-2.763159363792800846e-02
1.001099999999999923e+01	1.706414447079766718e-03	-1.032840513908783514e-03	7.097080500652076795e-02	2.695065857031401710e-02
1.001200000000000045e+01	-1.954134481899700865e-03	1.226171002766065765e-05	-2.543564525776981222e-02	-7.151092585081948727e-02
1.001299999999999990e+01	-1.887592217855359189e-03	3.770802975020329657e-05	-2.512153649792586534e-03	-7.562145938006781254e-02
1.001399999999999935e+01	-1.224825933793356357e-03	1.403611384028847489e-03	-3.957967266219213770e-02	-6.450947467310091943e-02
1.001500000000000057e+01	9.166686764606103320e-04	1.562099294737302876e-03	-7.544357429194648024e-02	-7.089602221604754048e-03
1.001600000000000001e+01	1.344212249137980006e-03	-1.124314364217795419e-03	-2.027750938082597751e-02	7.310112311527869333e-02
1.001699999999999946e+01	-2.487160752662869183e-04	1.757344466232305460e-03	-8.840710236916585196e-03	-7.494027555796262119e-02
1.001800000000000068e+01	-3.704682389193910980e-04	1.727044096890157417e-03	2.219728739944644424e-02	-7.243224823183071204e-02
1.001900000000000013e+01	1.100055130457098422e-03	1.391216788863862061e-03	-1.911196708668167279e-02	-7.338138803913557551e-02
1.001999999999999957e+01	-1.356412870127793801e-03	-1.171956090854120490e-03	5.968701997350711434e-03	7.550314432082629035e-02
1.002100000000000080e+01	-2.279101579971224974e-04	-1.789475804916395262e-03	-6.217751114171959220e-02	4.267191250728064045e-02
1.002200000000000024e+01	2.221358436059778934e-04	1.884781281964106880e-03	7.310673880181957351e-02	-2.036279903655430559e-02
1.002299999999999969e+01	1.791065575970955063e-03	6.939698869345329885e-04	3.769711558158169579e-02	-6.542193127418660659e-02
1.002399999999999913e+01	1.449993875247232011e-03	1.352849049539475972e-03	7.118123590933465861e-02	-2.603120258911630416e-02
1.002500000000000036e+01	-1.808278040002513206e-03	-9.340432113968972355e-04	-7.248719608332074293e-02	2.200160657118396118e-02
1.002599999999999980e+01	4.358824456221290530e-04	2.063114675569307100e-03	4.861554156481846800e-02	5.790791534502846838e-02
1.002699999999999925e+01	-2.115090142412798160e-03	4.969347691089609628e-04	-6.940144431726209817e-02	3.017204576108830846e-02
1.002800000000000047e+01	1.804624089285128234e-03	-1.228025832261412775e-03	6.629196007047805095e-02	-3.629042830035558720e-02
1.002899999999999991e+01	9.827557765178917409e-04	-1.990163563368442697e-03	5.624941428382848607e-02	-5.043121390609472954e-02
1.002999999999999936e+01	1.534582053052700300e-03	1.675928900136886175e-03	6.471095598583421170e-03	7.525533401379196075e-02
1.003100000000000058e+01	1.594272594090991339e-03	1.651863094723295339e-03	-1.249823484683654055e-02	7.434987902246623093e-02
1.003200000000000003e+01	-1.704058184852622840e-03	-1.495041042885651315e-03	2.806648066152162696e-02	-7.023597171050931232e-02
1.003299999999999947e+01	-1.193562506056502917e-03	1.933657653532336622e-03	-6.667465040221783046e-02	-3.495810689130195853e-02
1.003400000000000070e+01	6.956385298038265117e-04	-2.089703926541342394e-03	6.504380494174101524e-02	3.861414652309465290e-02
1.003500000000000014e+01	3.982049466993721996e-04	2.130940674958904310e-03	-7.196082116955261621e-02	-2.295786068894328097e-02
1.003599999999999959e+01	2.997150852628525366e-04	-2.035993698902144756e-03	4.383590379774781470e-02	6.168516877597312459e-02
1.003700000000000081e+01	1.328581251146513211e-03	1.507721995912117809e-03	-7.009558523316480882e-02	-2.854195133007770765e-02
1.003800000000000026e+01	1.598045973992291962e-03	1.067788513454075768e-03	-6.771955121722264548e-02	-3.306689875081525454e-02
1.003899999999999970e+01	-5.338333583001064319e-04	-1.750029393521596553e-03	5.325766801710604161e-03	7.539293526220088026e-02
1.003999999999999915e+01	1.791011076757860173e-03	-2.104518525145305217e-05	-6.424209716341013066e-02	-3.967960773267892316e-02
1.004100000000000037e+01	1.286797196630270774e-03	-1.172357879592891101e-03	-7.373404802466949903e-02	-1.477085399352540823e-02
1.004199999999999982e+01	1.763209780534812305e-03	8.546944870976144943e-05	-1.714005953494280796e-02	-7.339867080636536256e-02
1.004299999999999926e+01	-1.637508846214224970e-03	-7.823791171134290194e-04	-3.960952768031355403e-02	6.410638589720739355e-02
1.004400000000000048e+01	1.748851140851348214e-03	-6.299886763073882928e-04	7.020970576527856347e-03	-7.508945160611241176e-02
1.004499999999999993e+01	-2.091639850321282078e-05	1.968318132617426306e-03	5.286934645090420049e-02	5.364259958787240962e-02
1.004599999999999937e+01	-5.545444103878003706e-04	1.990005803934437236e-03	1.440494889181249787e-02	7.408308534994928474e-02
